,Thr,TP,FP,TN,FN,Accuracy,Precision,Recall,Specificity,F1,F2,Mean RT
0,0.1,10978.0,3665.0,2476.0,1614.0,0.7181978327016495,0.7497097589291811,0.8718233799237611,0.40319166259566847,0.8061685331375068,0.8443186537662856,1.444444436419753
1,0.2,9799.0,2581.0,3560.0,2793.0,0.7131265680884001,0.791518578352181,0.77819250317662,0.5797101449275363,0.7847989748518341,0.7808216994963983,2.3888888756172837
2,0.3,8723.0,1953.0,4188.0,3869.0,0.6892115518069717,0.817066316972649,0.6927414231257941,0.6819736199316072,0.7497851126009971,0.7144846340344668,3.1111110938271604
3,0.4,7729.0,1480.0,4661.0,4863.0,0.6613996690332569,0.8392876533825605,0.6138024142312579,0.7589969060413614,0.7090500435759827,0.6486563606760998,5.944444411419753
4,0.5,6702.0,1061.0,5080.0,5890.0,0.628943575508461,0.863326033749839,0.5322426937738246,0.8272268360201922,0.6585114222549743,0.5764566238323786,15.888888800617284
5,0.6,5533.0,662.0,5479.0,7059.0,0.5878396412747557,0.893139628732849,0.43940597204574333,0.8921999674320144,0.5890243253313461,0.4891006488340434,16.666666574074075
6,0.7,4354.0,338.0,5803.0,8238.0,0.5421982597555116,0.9279624893435635,0.3457750952986023,0.9449601042175542,0.5038185605183985,0.3953868507083182,21.388888770061726
7,0.8,3178.0,72.0,6069.0,9414.0,0.49362088293386003,0.9778461538461538,0.25238246505717915,0.9882755251587689,0.4012119681858351,0.29635570144354506,67.76470548373702
8,0.9,1275.0,0.0,6141.0,11317.0,0.39587893023007525,1.0,0.10125476493011436,1.0,0.18388981034109758,0.12344364192630172,160.4999988535714
