,Video,Thr,TP,FP,TN,FN,RT
104,12.0,0.6,167.0,2.0,238.0,103.0,3.0
105,12.0,0.7,153.0,1.0,239.0,117.0,3.0
106,12.0,0.8,99.0,0.0,240.0,171.0,5.0
107,12.0,0.9,50.0,0.0,240.0,220.0,82.0
108,13.0,0.1,326.0,0.0,0.0,1.0,0.0
109,13.0,0.2,326.0,0.0,0.0,1.0,0.0
110,13.0,0.3,325.0,0.0,0.0,2.0,0.0
111,13.0,0.4,323.0,0.0,0.0,4.0,0.0
112,13.0,0.5,314.0,0.0,0.0,13.0,0.0
113,13.0,0.6,288.0,0.0,0.0,39.0,0.0
114,13.0,0.7,252.0,0.0,0.0,75.0,0.0
115,13.0,0.8,166.0,0.0,0.0,161.0,0.0
116,13.0,0.9,33.0,0.0,0.0,294.0,1.0
117,14.0,0.1,773.0,314.0,35.0,5.0,0.0
118,14.0,0.2,746.0,287.0,62.0,32.0,0.0
119,14.0,0.3,710.0,252.0,97.0,68.0,0.0
120,14.0,0.4,672.0,206.0,143.0,106.0,0.0
121,14.0,0.5,609.0,159.0,190.0,169.0,0.0
122,14.0,0.6,547.0,120.0,229.0,231.0,0.0
123,14.0,0.7,478.0,63.0,286.0,300.0,2.0
124,14.0,0.8,381.0,11.0,338.0,397.0,2.0
125,14.0,0.9,237.0,0.0,349.0,541.0,30.0
126,15.0,0.1,1083.0,17.0,54.0,20.0,0.0
127,15.0,0.2,1067.0,8.0,63.0,36.0,0.0
128,15.0,0.3,1042.0,6.0,65.0,61.0,0.0
129,15.0,0.4,1005.0,4.0,67.0,98.0,0.0
130,15.0,0.5,977.0,4.0,67.0,126.0,0.0
131,15.0,0.6,934.0,2.0,69.0,169.0,0.0
132,15.0,0.7,906.0,0.0,71.0,197.0,0.0
133,15.0,0.8,857.0,0.0,71.0,246.0,0.0
134,15.0,0.9,578.0,0.0,71.0,525.0,0.0
135,16.0,0.1,512.0,386.0,431.0,255.0,0.0
136,16.0,0.2,424.0,196.0,621.0,343.0,0.0
137,16.0,0.3,339.0,128.0,689.0,428.0,0.0
138,16.0,0.4,279.0,95.0,722.0,488.0,0.0
139,16.0,0.5,207.0,71.0,746.0,560.0,1.0
140,16.0,0.6,116.0,52.0,765.0,651.0,1.0
141,16.0,0.7,58.0,29.0,788.0,709.0,8.0
142,16.0,0.8,19.0,12.0,805.0,748.0,126.0
143,16.0,0.9,0.0,0.0,817.0,767.0,-1.0
144,17.0,0.1,1151.0,618.0,147.0,14.0,0.0
145,17.0,0.2,1075.0,472.0,293.0,90.0,0.0
146,17.0,0.3,979.0,372.0,393.0,186.0,0.0
147,17.0,0.4,873.0,275.0,490.0,292.0,0.0
148,17.0,0.5,734.0,189.0,576.0,431.0,0.0
149,17.0,0.6,571.0,96.0,669.0,594.0,0.0
150,17.0,0.7,406.0,38.0,727.0,759.0,0.0
151,17.0,0.8,235.0,7.0,758.0,930.0,63.0
152,17.0,0.9,5.0,0.0,765.0,1160.0,456.0
153,18.0,0.1,249.0,371.0,164.0,2.0,0.0
154,18.0,0.2,232.0,308.0,227.0,19.0,0.0
155,18.0,0.3,216.0,260.0,275.0,35.0,0.0
156,18.0,0.4,195.0,209.0,326.0,56.0,9.0
157,18.0,0.5,168.0,155.0,380.0,83.0,20.0
158,18.0,0.6,150.0,89.0,446.0,101.0,28.0
159,18.0,0.7,123.0,46.0,489.0,128.0,29.0
160,18.0,0.8,107.0,13.0,522.0,144.0,32.0
161,18.0,0.9,52.0,0.0,535.0,199.0,59.0
