,Thr,TP,FP,TN,FN,Accuracy,Precision,Recall,Specificity,F1,F2,Mean RT
0,0.1,9659.0,16224.0,2476.0,3021.0,0.3867112810707457,0.37317930688096435,0.7617507886435331,0.13240641711229947,0.5009465031247569,0.6304583371408431,4.333333309259259
1,0.2,8707.0,7938.0,3560.0,3973.0,0.5073620646869055,0.5231000300390508,0.6866719242902208,0.3096190641850757,0.5938277919863598,0.6462554739107845,7.999999955555555
2,0.3,7818.0,4929.0,4188.0,4862.0,0.5508097444602468,0.6133207813603201,0.6165615141955836,0.4593616321158276,0.6149368781216816,0.6159106307214772,10.611111052160494
3,0.4,7060.0,3143.0,4661.0,5620.0,0.5722026947861746,0.6919533470547878,0.556782334384858,0.5972578165043567,0.6170519599702836,0.5794199235100044,12.388888820061728
4,0.5,6249.0,1982.0,5080.0,6431.0,0.5738526998277783,0.7592030129996356,0.49282334384858045,0.7193429623336165,0.5976758643776003,0.5300164543434378,40.61111088549382
5,0.6,5256.0,1103.0,5479.0,7424.0,0.5573149205689959,0.8265450542538135,0.41451104100946373,0.8324217563050744,0.5521298387520354,0.4604145132185216,42.444444208641976
6,0.7,4209.0,520.0,5803.0,8471.0,0.5268641793401042,0.8900401776274054,0.33194006309148266,0.91776055669777,0.48354299500258496,0.3795379537953796,50.05555527746913
7,0.8,3147.0,108.0,6069.0,9533.0,0.48873097523466086,0.9668202764976959,0.24818611987381703,0.9825157843613405,0.39497960464386567,0.2915238536359426,96.93749939414062
8,0.9,1275.0,0.0,6141.0,11405.0,0.39402794750544606,1.0,0.10055205047318612,1.0,0.18273020422787534,0.12260794307144918,160.4999988535714
