,TP,FP,TN,FN,Acc,Histo-real,Histo-pred,Conf
0.1,970,0,0,166,0.8538732394366197,1,1,0.8538732394366197
0.2,796,0,0,183,0.8130745658835546,1,1,0.8130745658835546
0.3,611,0,0,188,0.7647058823529411,1,1,0.7647058823529411
0.4,454,0,0,189,0.7060653188180405,1,1,0.7060653188180405
0.5,344,0,0,164,0.6771653543307087,1,1,0.6771653543307087
0.6,247,0,0,112,0.6880222841225627,1,1,0.6880222841225627
0.7,131,0,0,69,0.655,1,1,0.655
0.8,99,0,0,22,0.8181818181818182,1,1,0.8181818181818182
0.9,0,0,0,0,0.0,1,1,0.0
