,TP,FP,TN,FN,Acc,Histo-real,Histo-pred,Conf
0.1,459,0,0,78,0.8547486033519553,1,1,0.8547486033519553
0.2,391,0,0,128,0.7533718689788054,1,1,0.7533718689788054
0.3,336,0,0,126,0.7272727272727273,1,1,0.7272727272727273
0.4,306,0,0,92,0.7688442211055276,1,1,0.7688442211055276
0.5,252,0,0,81,0.7567567567567568,1,1,0.7567567567567568
0.6,181,0,0,46,0.7973568281938326,1,1,0.7973568281938326
0.7,119,0,0,24,0.8321678321678322,1,1,0.8321678321678322
0.8,42,0,0,13,0.7636363636363637,1,1,0.7636363636363637
0.9,2,0,0,0,1.0,1,1,1.0
