,TP,FP,TN,FN,Acc,Histo-real,Histo-pred,Conf
0.1,1078,0,0,1,0.9990732159406858,1,1,0.9990732159406858
0.2,1062,0,0,3,0.9971830985915493,1,1,0.9971830985915493
0.3,1038,0,0,3,0.9971181556195965,1,1,0.9971181556195965
0.4,1002,0,0,2,0.99800796812749,1,1,0.99800796812749
0.5,974,0,0,3,0.9969293756397134,1,1,0.9969293756397134
0.6,933,0,0,1,0.9989293361884368,1,1,0.9989293361884368
0.7,906,0,0,0,1.0,1,1,1.0
0.8,857,0,0,0,1.0,1,1,1.0
0.9,578,0,0,0,1.0,1,1,1.0
