,Thr,TP,FP,TN,FN,Accuracy,Conf
0,0.1,7559.0,277.0,360.0,1463.0,0.8198571280670877,0.9269273953641606
1,0.2,6639.0,217.0,356.0,1495.0,0.8033765935454232,0.8888082194649725
2,0.3,5922.0,181.0,348.0,1367.0,0.8019953952417498,0.8635152712299878
3,0.4,5330.0,151.0,339.0,1240.0,0.8029745042492917,0.8464328112377203
4,0.5,4762.0,107.0,328.0,1052.0,0.8145303248519763,0.8451734727811395
5,0.6,4103.0,58.0,313.0,782.0,0.8401826484018264,0.8528550760046217
6,0.7,3397.0,24.0,301.0,487.0,0.8785934901401758,0.8908403848665978
7,0.8,2632.0,11.0,282.0,222.0,0.9259612329202415,0.8099872064271858
8,0.9,1196.0,0.0,68.0,11.0,0.9913725490196078,0.744107744107744
