,TP,FP,TN,FN,Acc,Histo-real,Histo-pred,Conf
0.1,270,0,0,54,0.8333333333333334,1,1,0.8333333333333334
0.2,231,0,0,93,0.7129629629629629,1,1,0.7129629629629629
0.3,216,0,0,107,0.6687306501547987,1,1,0.6687306501547987
0.4,204,0,0,117,0.6355140186915887,1,1,0.6355140186915887
0.5,180,0,0,133,0.5750798722044729,1,1,0.5750798722044729
0.6,153,0,0,134,0.5331010452961672,1,1,0.5331010452961672
0.7,130,0,0,122,0.5158730158730159,1,1,0.5158730158730159
0.8,85,0,0,81,0.5120481927710844,1,1,0.5120481927710844
0.9,24,0,0,9,0.7272727272727273,1,1,0.7272727272727273
