,TP,FP,TN,FN,Acc,Histo-real,Histo-pred,Conf
0.1,1030,0,0,54,0.9501845018450185,1,1,0.9501845018450185
0.2,909,0,0,62,0.9361483007209063,1,1,0.9361483007209063
0.3,803,0,0,51,0.9402810304449649,1,1,0.9402810304449649
0.4,713,0,0,44,0.9418758256274768,1,1,0.9418758256274768
0.5,610,0,0,33,0.9486780715396579,1,1,0.9486780715396579
0.6,493,0,0,14,0.9723865877712031,1,1,0.9723865877712031
0.7,360,0,0,5,0.9863013698630136,1,1,0.9863013698630136
0.8,223,0,0,2,0.9911111111111112,1,1,0.9911111111111112
0.9,5,0,0,0,1.0,1,1,1.0
