,TP,FP,TN,FN,Acc,Histo-real,Histo-pred,Conf
0.1,680,0,0,27,0.9618104667609618,1,1,0.9618104667609618
0.2,636,0,0,34,0.9492537313432836,1,1,0.9492537313432836
0.3,606,0,0,22,0.964968152866242,1,1,0.964968152866242
0.4,583,0,0,16,0.9732888146911519,1,1,0.9732888146911519
0.5,545,0,0,12,0.9784560143626571,1,1,0.9784560143626571
0.6,502,0,0,5,0.9901380670611439,1,1,0.9901380670611439
0.7,453,0,0,3,0.993421052631579,1,1,0.993421052631579
0.8,376,0,0,1,0.9973474801061007,1,1,0.9973474801061007
0.9,237,0,0,0,1.0,1,1,1.0
