,TP,FP,TN,FN,Acc,Histo-real,Histo-pred,Conf
0.1,357,0,0,3,0.9916666666666667,1,1,0.9916666666666667
0.2,349,0,0,10,0.9721448467966574,1,1,0.9721448467966574
0.3,344,0,0,14,0.9608938547486033,1,1,0.9608938547486033
0.4,340,0,0,18,0.9497206703910615,1,1,0.9497206703910615
0.5,336,0,0,20,0.9438202247191011,1,1,0.9438202247191011
0.6,329,0,0,16,0.9536231884057971,1,1,0.9536231884057971
0.7,322,0,0,10,0.9698795180722891,1,1,0.9698795180722891
0.8,312,0,0,1,0.9968051118210862,1,1,0.9968051118210862
0.9,190,0,0,0,1.0,1,1,1.0
