,TP,FP,TN,FN,Acc,Histo-real,Histo-pred,Conf
0.1,187,0,0,3,0.9842105263157894,1,1,0.9842105263157894
0.2,150,0,0,40,0.7894736842105263,1,1,0.7894736842105263
0.3,124,0,0,66,0.6526315789473685,1,1,0.6526315789473685
0.4,106,0,0,80,0.5698924731182796,1,1,0.5698924731182796
0.5,90,0,0,83,0.5202312138728323,1,1,0.5202312138728323
0.6,76,0,0,61,0.5547445255474452,1,1,0.5547445255474452
0.7,57,0,0,14,0.8028169014084507,1,1,0.8028169014084507
0.8,31,0,0,2,0.9393939393939394,1,1,0.9393939393939394
0.9,11,0,0,0,1.0,1,1,1.0
