,TP,FP,TN,FN,Acc,Histo-real,Histo-pred,Conf
0.1,363,0,0,61,0.8561320754716981,1,1,0.8561320754716981
0.2,294,0,0,124,0.7033492822966507,1,1,0.7033492822966507
0.3,239,0,0,170,0.5843520782396088,1,1,0.5843520782396088
0.4,202,0,0,198,0.505,1,1,0.505
0.5,169,0,0,219,0.43556701030927836,1,0,0.5644329896907216
0.6,133,0,0,233,0.3633879781420765,1,0,0.6366120218579235
0.7,92,0,0,176,0.34328358208955223,1,0,0.6567164179104478
0.8,56,0,0,86,0.39436619718309857,1,0,0.6056338028169014
0.9,2,0,0,1,0.6666666666666666,1,1,0.6666666666666666
